ISOCode3,M49_Code,Contributing_Country,Personnel_Contribution_Rank,Female_Personnel,Male_Personnel,Total_Uniformed_Personnel,Last_Reporting_Date
MKD,807,North Macedonia,111,0,3,3,31-Jan-21
ALB,8,Albania,113,2,0,2,31-Jan-21
DZA,12,Algeria,113,0,2,2,31-Jan-21
AZE,31,Azerbaijan,113,0,2,2,31-Jan-21
BGR,100,Bulgaria,113,0,2,2,31-Jan-21
CYP,196,Cyprus,113,0,2,2,31-Jan-21
IRN,364,Iran (Islamic Republic of),113,0,2,2,31-Jan-21
LUX,442,Luxembourg,113,0,2,2,31-Jan-21
PNG,598,Papua New Guinea,113,0,2,2,31-Jan-21
LVA,428,Latvia,121,0,1,1,31-Jan-21
QAT,634,Qatar,121,0,1,1,31-Jan-21

